customer_id,name,country,age,total_orders,total_spent
1,John Smith,Canada,64,10,1191.52
2,Sophia Wilson,Canada,56,20,283.91
3,David Taylor,USA,48,8,1171.05
4,Olivia Martin,USA,40,2,1839.86
5,Michael Lee,USA,20,18,439.24
6,Olivia Martin,USA,61,20,1319.36
7,Emma Brown,Australia,34,5,69.23
8,Emma Brown,Canada,27,14,265.48
9,Emma Brown,Australia,37,11,98.42
10,Sophia Wilson,Canada,62,15,386.31
11,Olivia Martin,Canada,63,2,1519.64
12,Olivia Martin,USA,59,5,1667.1
13,Sophia Wilson,USA,44,15,1845.03
14,David Taylor,UK,32,2,1671.87
15,John Smith,USA,45,13,1566.06
16,John Smith,Canada,65,18,282.85
17,John Smith,USA,32,5,577.83
18,David Taylor,USA,63,3,1657.36
19,David Taylor,Canada,28,18,617.9
20,Michael Lee,UK,58,7,1949.47
21,Olivia Martin,USA,63,12,697.25
22,Emma Brown,Canada,60,18,127.29
23,David Taylor,Australia,25,16,1543.51
24,Olivia Martin,USA,25,1,1827.45
25,John Smith,USA,26,3,483.44
26,Sophia Wilson,USA,45,10,1037.09
27,Olivia Martin,Canada,62,3,296.66
28,Michael Lee,UK,57,9,1115.7
29,Olivia Martin,Canada,27,8,1248.87
30,John Smith,Canada,50,3,1808.94
31,Sophia Wilson,Australia,29,20,1849.25
32,Olivia Martin,UK,42,14,276.56
33,David Taylor,Australia,60,1,911.58
34,Olivia Martin,UK,28,15,1468.66
35,Michael Lee,UK,52,11,79.39
36,Olivia Martin,Australia,48,7,987.95
37,Michael Lee,Australia,41,7,1804.06
38,Olivia Martin,Australia,41,18,1721.39
39,David Taylor,Australia,44,11,1568.52
40,Sophia Wilson,Canada,63,15,1308.94
41,Emma Brown,Canada,56,1,1485.17
42,Emma Brown,UK,32,18,1831.88
43,Olivia Martin,Canada,53,8,660.53
44,John Smith,USA,54,8,1142.37
45,John Smith,Canada,49,5,721.68
46,David Taylor,UK,28,13,880.65
47,Emma Brown,UK,45,2,901.59
48,Olivia Martin,Australia,20,18,1768.43
49,Emma Brown,Canada,40,17,1673.66
50,John Smith,USA,41,1,51.9
51,Sophia Wilson,Australia,32,7,1291.43
52,David Taylor,USA,42,20,677.95
53,Emma Brown,USA,27,6,1303.1
54,David Taylor,Canada,62,3,1349.43
55,Michael Lee,Canada,37,18,605.45
56,Sophia Wilson,USA,23,9,1385.36
57,David Taylor,USA,65,15,1678.78
58,John Smith,USA,38,6,1312.34
59,David Taylor,UK,53,20,456.03
60,John Smith,Australia,27,15,1166.95
61,Emma Brown,Canada,44,9,210.14
62,Emma Brown,Canada,42,10,599.12
63,Sophia Wilson,Canada,26,6,1708.43
64,Olivia Martin,USA,54,10,1071.36
65,Olivia Martin,Australia,25,14,704.59
66,Sophia Wilson,Canada,44,5,1818.01
67,Emma Brown,Australia,53,19,1242.87
68,Sophia Wilson,Canada,51,16,1283.99
69,Olivia Martin,UK,65,20,1040.33
70,David Taylor,Canada,29,6,1740.63
71,Olivia Martin,Australia,52,11,784.33
72,Emma Brown,Canada,36,20,616.6
73,Olivia Martin,Australia,32,20,1216.0
74,David Taylor,UK,32,10,1116.73
75,Olivia Martin,USA,46,8,1668.2
76,Michael Lee,UK,52,5,355.28
77,David Taylor,UK,61,5,1085.84
78,Emma Brown,Australia,27,20,1918.89
79,Sophia Wilson,USA,40,7,498.37
80,John Smith,Australia,50,16,729.63
81,John Smith,Canada,29,1,98.29
82,David Taylor,Canada,45,11,388.31
83,Olivia Martin,Australia,39,16,700.45
84,Michael Lee,Canada,39,1,190.19
85,Olivia Martin,Canada,55,19,1448.5
86,Sophia Wilson,Australia,48,12,1445.02
87,Olivia Martin,Canada,59,4,1956.36
88,Sophia Wilson,Australia,27,7,63.95
89,Emma Brown,UK,42,14,804.99
90,Michael Lee,UK,24,3,556.9
91,Olivia Martin,Australia,28,9,1386.74
92,Sophia Wilson,Canada,33,13,1322.09
93,Michael Lee,USA,47,17,146.37
94,David Taylor,Australia,20,19,494.53
95,Sophia Wilson,Australia,43,20,1812.84
96,Michael Lee,Canada,43,19,394.87
97,Olivia Martin,Australia,26,3,516.85
98,Michael Lee,Australia,64,3,525.01
99,Sophia Wilson,Canada,37,19,1242.54
100,Sophia Wilson,USA,61,10,363.85
