customer_id,name,country,age,total_orders,total_spent
C0001,Michael Lee,Australia,45,15,210.12
C0002,Sophia Wilson,USA,50,13,890.48
C0003,Michael Lee,Canada,20,4,1152.87
C0004,John Smith,USA,33,4,1594.58
C0005,Olivia Martin,Canada,31,8,159.19
C0006,Michael Lee,UK,45,13,230.09
C0007,Emma Brown,UK,61,18,973.65
C0008,Michael Lee,Australia,55,13,351.62
C0009,Olivia Martin,Australia,33,16,1744.44
C0010,John Smith,Canada,28,18,1905.8
C0011,Michael Lee,Australia,50,7,1044.08
C0012,Michael Lee,USA,41,3,165.05
C0013,Emma Brown,Canada,34,16,658.9
C0014,John Smith,Canada,61,11,1379.36
C0015,Emma Brown,USA,55,12,1145.61
C0016,David Taylor,Australia,58,13,399.09
C0017,Michael Lee,Australia,41,20,971.38
C0018,Sophia Wilson,USA,43,9,1758.29
C0019,Sophia Wilson,UK,31,9,1379.1
C0020,Michael Lee,Canada,42,18,1348.01
C0021,Emma Brown,UK,52,16,578.63
C0022,John Smith,USA,42,12,410.2
C0023,Michael Lee,USA,65,13,588.36
C0024,Emma Brown,Australia,37,18,631.83
C0025,David Taylor,USA,30,17,1384.65
C0026,Emma Brown,UK,23,2,550.03
C0027,Sophia Wilson,UK,21,14,67.31
C0028,David Taylor,Australia,53,15,1699.72
C0029,Michael Lee,USA,57,9,1696.51
C0030,Sophia Wilson,UK,20,7,288.41
C0031,Olivia Martin,Canada,40,14,1497.9
C0032,Sophia Wilson,Canada,40,12,1040.85
C0033,David Taylor,Canada,41,19,1601.44
C0034,Emma Brown,UK,23,10,118.87
C0035,Michael Lee,Australia,53,11,891.02
C0036,Olivia Martin,Canada,29,14,1864.76
C0037,Emma Brown,UK,64,4,279.07
C0038,Emma Brown,USA,42,5,980.31
C0039,Sophia Wilson,Australia,63,16,1322.09
C0040,John Smith,USA,26,5,1676.61
C0041,Olivia Martin,USA,28,16,226.74
C0042,John Smith,Canada,57,3,1647.51
C0043,Michael Lee,USA,21,4,1170.69
C0044,Emma Brown,Canada,33,8,626.1
C0045,Olivia Martin,Australia,42,19,573.34
C0046,John Smith,Canada,37,9,516.68
C0047,Olivia Martin,Canada,61,2,1794.49
